ID,Approved
APPA70109647212,0.11670556769754936
APPB10687939341,0.1252720792414678
APPC80449411414,0.11062470706078875
APPD30665094501,0.11154927342009817
APPE80379821637,0.11530663503370218
APPF90611935733,0.11062470706078875
APPG20993415813,0.1297923169301471
APPH30656456927,0.11400819946306356
APPI70297912043,0.1163711779291736
APPJ50119937105,0.12386908441191502
APPK30106042233,0.11463321995082437
APPL40962417345,0.11303322638535283
APPM90265624408,0.11029929773775568
APPN80816878501,0.11931694089361367
APPO80036467625,0.11041530220733745
APPP70300016724,0.11826354128801905
APPQ20714935844,0.12519731427571673
APPR10725816917,0.12027235445499218
APPT80995817106,0.11062470706078875
APPU10455032232,0.11398861483872674
APPV20523998348,0.11187790674690566
APPW70096327441,0.11576878685625211
APPX50146048546,0.1171849185084733
APPY80200205609,0.11828206179238689
APPZ70268239711,0.12467458960821245
APPB10908859928,0.11772633121780872
APPC60646419006,0.11029929773775568
APPD70986505145,0.11161431314973419
APPE40974536227,0.11187790674690566
APPF80212605331,0.1175856358251619
APPG70118514422,0.12274971381151882
APPH60330147508,0.11029929773775568
APPI70857836611,0.11614352310145064
APPL20333186904,0.12950558563431955
APPM70580221014,0.1155239610309372
APPN30606238135,0.11949771688316108
APPQ60782014415,0.12083149181780876
APPT80140966721,0.11659904766129908
APPU80930365832,0.11029929773775568
APPV80124518928,0.11029929773775568
APPW90476067036,0.11029929773775568
APPX90531514107,0.11950636563949155
APPY80613652222,0.11839658152694693
APPA60775566448,0.1201871853596644
APPC70771774625,0.1277314411680418
APPF80168055929,0.11487958151344477
APPG50757073027,0.11874102794519759
APPH30859115106,0.11255669859826102
APPJ10885387332,0.1224079271651732
APPK40949346408,0.12759799307859987
APPL60776142522,0.1593664575618664
APPN50729023734,0.11344721125656027
APPP70407207923,0.12301171446793506
APPR40227782118,0.17420587385904088
APPV80504514517,0.11578248729507977
APPW80566048613,0.11217667063237219
APPX80187469727,0.11389360562684765
APPZ30260508907,0.1194900197606143
APPA50518171015,0.1320979735123881
APPB40882474103,0.11149655636902289
APPC60427976226,0.12468321210239977
APPD90513037337,0.12013893069877092
APPG50800243623,0.13167671116993726
APPH10433332748,0.11752795858520691
APPI40348921805,0.11852135209463463
APPJ80439618906,0.11062470706078875
APPK30634359001,0.11187790674690566
APPL40047305118,0.137557578324588
APPM70985326241,0.11041530220733745
APPN20760216327,0.11564359412744003
APPO10519239445,0.11348449180915977
APPP70822536506,0.1149511204884296
APPQ10182368643,0.11349234242666846
APPR30764178704,0.11269151765804523
APPS60446465843,0.11714264686742268
APPT20264132924,0.11210663960470514
APPV90184745108,0.1293947942716643
APPX70050373318,0.11029929773775568
APPY80240353432,0.12410304310457636
APPZ80848953507,0.11891395605544117
APPD10500401933,0.11330755975496917
APPE10200701029,0.12604891889590922
APPF90094523116,0.11670990541840352
APPG60519369247,0.1286939589185026
APPH70673564343,0.11029929773775568
APPI10312387415,0.11575318711233576
APPJ20310967521,0.11750582773397651
APPK80886344639,0.11336567371496722
APPM60863037811,0.1255153090531156
APPN50560289924,0.1302732904173772
APPO70832217022,0.11803028641032444
APPP60583131103,0.1316164447591635
APPR30748409317,0.1149511204884296
APPS10305693407,0.11187790674690566
APPT10792153527,0.11698289001386475
APPU80979985636,0.11923632041370799
APPW90127018832,0.11780877037094402
APPX40629447906,0.14557069770657244
APPZ20101292145,0.1149511204884296
APPB10848417338,0.12374127688525223
APPC40239663433,0.11708848215216507
APPD20097051518,0.12827026222730034
APPE50963262622,0.11946578943150274
APPF90075697702,0.12305553760350531
APPH10711077908,0.1164844310933664
APPI90021288035,0.11029929773775568
APPJ80748148121,0.11062470706078875
APPK10288641218,0.11803913124251153
APPL90732086337,0.11212284786311624
APPM70990842401,0.12244635201248673
APPN80617857512,0.11062470706078875
APPO50383745617,0.11187790674690566
APPP60172178734,0.11029929773775568
APPR10764977942,0.15265769552157746
APPT10480648139,0.1266724977058873
APPU60453258232,0.1164844310933664
APPX90855367529,0.11973392855648814
APPY50250927615,0.11062470706078875
