ID,electricity_consumption
552,205.67560709486594
553,208.86187762237756
554,201.04435927405936
555,208.0891896103896
556,256.8446413586414
557,239.52174538794537
558,252.65637942057944
559,347.3094728350082
560,278.76153902763895
561,272.97097709308247
562,261.4576152514152
563,251.30609818612766
564,250.52424701964705
565,282.3230113447956
566,254.9384699633699
567,268.50985360253776
568,274.64913992673996
569,262.908748984349
570,221.18033687684866
571,259.0662640026641
572,375.84232440418197
573,283.35255120565716
574,270.05744908424913
575,350.1570279054279
576,234.2502193841246
577,319.76413040293045
578,256.5092901098902
579,253.23892458594034
580,229.28380031341203
581,228.08261956083138
582,234.15267748917756
583,219.9770838161838
584,211.67343269671505
585,213.2912861804861
586,208.77398608058604
587,227.37069017649011
588,213.14493301012706
589,207.52011046600458
590,203.45522660672665
591,203.40025014985014
592,207.82707229437224
593,202.771529004329
594,199.29789370629368
595,229.84569378268796
596,215.5294103563103
597,265.22289936338177
598,282.11916372533557
599,252.05262264402262
600,238.26247620810562
601,229.23688747918743
602,212.8637539343011
603,227.14213429903432
604,252.77067279387282
605,227.7177905760906
606,221.21188665452186
607,241.3912774891775
608,222.05317589077592
609,234.2815818358113
610,221.81003926073925
611,214.16560414683363
612,269.1827439635701
613,287.57798500096396
614,259.58602997003
615,243.5894239161252
616,264.66420279720273
617,278.0585368256098
618,264.2697352823647
619,340.61143650735227
620,257.18183802863814
621,259.36069477189494
622,269.45253888464487
623,243.24717220818397
624,225.69394845154844
625,244.2147952713952
626,220.59128011988014
627,227.59588238428248
628,217.1757867583397
629,216.43525482360775
630,211.54463989343998
631,206.8800731601731
632,218.31742205833376
633,213.7090292766058
634,209.7818751993105
635,219.2512581105169
636,217.5112470431529
637,272.3087453135101
638,233.85447418896882
639,256.7370905349553
640,225.38460709682482
641,246.81250076590067
642,210.87509470529474
643,212.47076790464442
644,224.4793977453919
645,214.21810386280384
646,214.80732903762893
647,244.76528131476368
648,216.25414096491747
649,223.19710589410596
650,215.93101302227186
651,215.77373303167428
652,215.8131234099235
653,216.36344482184487
654,215.31945494505484
655,209.96016530136538
656,250.5764207792208
657,217.82972440892433
658,219.6916594738595
659,221.7072329356917
660,219.73463256743256
661,213.93463556443558
662,223.45358344792464
663,221.19358235098238
664,208.9808544122545
665,205.41801900060727
666,210.71695831815242
667,202.46965950715958
668,209.19961688311693
669,203.34154428904435
670,201.62100655814774
671,208.87002693776807
672,204.01311158841165
673,205.53883249887355
674,203.93584731738852
675,206.01111608391608
676,219.57478992771937
677,203.1511036297036
678,203.38473889443884
679,203.93453459873456
680,199.9950216450215
681,231.10108402969576
682,216.95470813891978
683,251.23199337329348
684,227.87300326340326
685,223.26331155511164
686,219.10764717119835
687,225.49199874635175
688,210.96134385614388
689,216.79525174825173
690,211.6227156451391
691,206.37134408728525
692,205.05405874125879
693,211.6888750014691
694,208.57657249417252
695,207.0014770366889
696,203.28913796203798
697,207.5412042957044
698,211.3289625707625
699,204.74618184952297
700,210.35003781316726
701,207.3111114219115
702,220.25243896103885
703,200.36434691974685
704,202.4550555777555
705,198.53550254657608
706,197.42539433899438
707,205.09868426867254
708,200.744197002997
709,200.32638752228164
710,201.62095364635366
711,201.75864327437267
712,199.02384362304366
713,197.12501245421248
714,197.2265684315684
715,204.36917335997342
716,201.2460903762903
717,203.15204135864133
718,265.34134069624906
719,289.35660378053313
720,270.41370574586705
721,248.40479798695927
722,231.59796742081446
723,231.80050140880786
724,232.7511302540597
725,246.18792470862462
726,347.0447661671661
727,290.5438965700964
728,248.41667117588293
729,276.16512892269026
730,227.9823008658009
731,238.42592494172493
732,237.21950273256144
733,228.6054867132867
734,216.6104660339661
735,212.16070338330408
736,223.17181931401933
737,224.67072940392936
738,228.47769805684516
739,220.31447502105732
740,203.33486733266722
741,207.29948574758575
742,206.68426822393295
743,208.57724891599617
1296,325.77007861550203
1297,336.2808593249886
1298,339.00402625805566
1299,329.2970912131007
1300,343.3842039254863
1301,329.8726796869796
1302,310.8174700593524
1303,298.0643315351316
1304,276.9326505827505
1305,284.4858453389748
1306,246.0371210874752
1307,223.67470656010647
1308,228.44458201798207
1309,219.28795137803377
1310,230.86209410589413
1311,214.0999392568216
1312,216.03116590076593
1313,214.74530356923555
1314,260.7082862394571
1315,229.3927373616895
1316,387.6574608369508
1317,384.1262292496976
1318,378.5076311727489
1319,394.02827116217117
1320,436.7159193334146
1321,404.5525123665808
1322,474.7834898564849
1323,483.43736596723085
1324,438.6323873925014
1325,468.3000265146619
1326,476.927510854058
1327,462.1654163209341
1328,473.03953622868346
1329,394.3602708218759
1330,326.30180770096763
1331,358.7242775821702
1332,349.0910152785999
1333,271.972616609497
1334,244.26885017531478
1335,327.2986026018028
1336,260.0074432900432
1337,296.47626008377586
1338,239.4586219525573
1339,258.06028001998004
1340,265.2816305799464
1341,268.0835379611101
1342,258.76696340848696
1343,268.64558306138304
1344,249.26485049395043
1345,248.030134077034
1346,301.90962781566253
1347,266.6195604496952
1348,411.6254881200174
1349,465.20354468864446
1350,410.64199024834824
1351,455.834906497424
1352,443.2745636363636
1353,425.6589633907398
1354,392.07042257350474
1355,377.6875482812558
1356,483.3072339267224
1357,394.9077317792309
1358,494.0255749688908
1359,482.7540554125057
1360,434.60595238095254
1361,446.13694694038355
1362,414.1659714550157
1363,507.8739104334263
1364,447.4308261060778
1365,417.05205254745255
1366,438.40161148804765
1367,404.20221591267335
1368,485.59770619205347
1369,387.9322456134165
1370,408.9591749089991
1371,428.8252638337659
1372,429.2309102047721
1373,384.54635514485506
1374,392.3938990326908
1375,351.4478915985975
1376,416.2453157105764
1377,386.1597418777301
1378,413.29196806526795
1379,424.4597974560012
1380,345.2983345987347
1381,316.7931426906428
1382,309.54134212454204
1383,275.77117948717955
1384,268.74708998682485
1385,295.6285062271062
1386,271.72849326203203
1387,311.5228197590134
1388,302.06356364845726
1389,302.11602637345163
1390,367.0157066488986
